scope,category,count,exact_match,precision,recall,f1_score,mean_confidence
global,all,375,0.216,0.268,0.2702603174603175,0.2681015873015873,0.7156024593035379
category,participants,75,0.26666666666666666,0.28,0.2822222222222222,0.2808888888888889,0.9440238057772319
category,time,75,0.18666666666666668,0.20333333333333334,0.20333333333333334,0.20317460317460317,0.5846611893971762
category,time_normalized,75,0.32,0.32,0.32,0.32,0.3713319123586019
category,location,75,0.28,0.4577777777777778,0.46907936507936504,0.458984126984127,0.7773333333333334
category,topic,75,0.02666666666666667,0.07888888888888888,0.07666666666666666,0.07746031746031747,0.9006620556513468
