scope,category,count,exact_match,precision,recall,f1_score,mean_confidence
global,all,375,0.20266666666666666,0.23502222222222222,0.2402222222222222,0.2364232804232804,0.37248000000000003
category,participants,75,0.013333333333333334,0.07844444444444446,0.11111111111111109,0.08992592592592591,0.49066666666666653
category,time,75,0.32,0.3444444444444445,0.3377777777777778,0.34044444444444444,0.33599999999999997
category,time_normalized,75,0.3466666666666667,0.3466666666666667,0.3466666666666667,0.3466666666666667,0.33599999999999997
category,location,75,0.21333333333333335,0.23333333333333334,0.23555555555555552,0.23428571428571426,0.06799999999999999
category,topic,75,0.12,0.17222222222222222,0.17,0.1707936507936508,0.6317333333333333
