scope,category,classic_em,classic_f1,qa_em,qa_f1,delta_em_qa_minus_classic,delta_f1_qa_minus_classic,winner_f1
global,all,0.20266666666666666,0.2364232804232804,0.216,0.2681015873015873,0.013333333333333336,0.03167830687830689,bertimbau_qa
category,location,0.21333333333333335,0.23428571428571426,0.28,0.458984126984127,0.06666666666666668,0.22469841269841273,bertimbau_qa
category,participants,0.013333333333333334,0.08992592592592591,0.26666666666666666,0.2808888888888889,0.25333333333333335,0.190962962962963,bertimbau_qa
category,time,0.32,0.34044444444444444,0.18666666666666668,0.20317460317460317,-0.13333333333333333,-0.13726984126984126,classic
category,time_normalized,0.3466666666666667,0.3466666666666667,0.32,0.32,-0.026666666666666672,-0.026666666666666672,classic
category,topic,0.12,0.1707936507936508,0.02666666666666667,0.07746031746031747,-0.09333333333333332,-0.09333333333333334,classic
